,db,query,family
1,itis,Abra alba,Semelidae
2,itis,Abra nitida,Semelidae
3,itis,Abra tenuis,Semelidae
4,itis,Acanthocardia tuberculata,Cardiidae
5,itis,Aequipecten irradians,Pectinidae
6,itis,Aequipecten opercularis,Pectinidae
7,itis,Aequipecten tehuelcus,Pectinidae
8,itis,Amiantis purpurata,Veneridae
9,itis,Amygdalum glaberrimum,Mytilidae
10,itis,Anadara antiquata,Arcidae
11,itis,Anadara granosa,Arcidae
12,itis,Anadara notabilis,Arcidae
13,itis,Anadara ovalis,Arcidae
14,itis,Anadara scapha,Arcidae
15,itis,Anadara trapezia,Arcidae
16,itis,Anadara tuberculosa,Arcidae
17,itis,Anomalocardia brasiliana,Veneridae
18,itis,Anomia descripta,Arcidae
19,itis,Arca noae,Arcidae
20,itis,Arca zebra,Arcidae
21,itis,Arctica islandica,Arcticidae
22,itis,Argopecten circularis,Pectinidae
23,itis,Argopecten gibbus,Pectinidae
24,itis,Argopecten irradians,Pectinidae
25,itis,Argopecten purpuratus,Pectinidae
26,itis,Argopecten ventricosus,Pectinidae
27,itis,Asaphis deflorata,Psammobiidae
28,itis,Astarte borealis,Astartidae
29,itis,Astarte montagui,Astartidae
30,itis,Atactodea striata,Mesodesmatidae
31,itis,Atrina maura,Pinnidae
32,itis,Atrina pectinata japonica,Pinnidae
33,itis,Atrina seminuda,Pinnidae
34,itis,Aulacomya atra,Mytilidae
35,itis,Aulacomya maoriana,Mytilidae
36,itis,Barnea davidi,Pholadidae
37,itis,Brachidontes pharaonis,Mytilidae
38,itis,Brachidontes recurvus,Mytilidae
39,itis,Brachidontes rodriguezii,Mytilidae
40,itis,Brachidontes variabilis,Mytilidae
41,itis,Callista chione,Veneridae
42,itis,Cardium edule,Cardiidae
43,itis,Cerastoderma edule,Cardiidae
44,itis,Cerastoderma glaucum,Cardiidae
45,itis,Chamelea gallina,Veneridae
46,itis,Chione californiensis,Veneridae
47,itis,Chione cancellata,Veneridae
48,itis,Chione pubera,Veneridae
49,itis,Chlamys islandica,Pectinidae
50,itis,Chlamys tigerina,Pectinidae
51,itis,Choromytilus meridionalis,Mytilidae
52,itis,Clinocardium nuttallii,Cardiidae
53,itis,Codakia orbicularis,Lucinidae
54,itis,Coecella chinensis,Mesodesmatidae
55,itis,Crassostrea ariakensis,Ostreidae
56,itis,Crassostrea corteziensis,Ostreidae
57,itis,Crassostrea cucullata,Ostreidae
58,itis,Crassostrea gigas,Ostreidae
59,itis,Crassostrea gryphoides,Ostreidae
60,itis,Crassostrea iridescens,Ostreidae
61,itis,Crassostrea madrasensis,Ostreidae
62,itis,Crassostrea plicatula,Ostreidae
63,itis,Crassostrea rhizophorae,Ostreidae
64,itis,Crassostrea rivularis,Ostreidae
65,itis,Crassostrea tulipa,Ostreidae
66,itis,Crassostrea virginica,Ostreidae
67,itis,Ctenoides scaber,Limidae
68,itis,Cyclina sinensis,Veneridae
69,itis,Donax cuneatus,Donacidae
70,itis,Donax denticulatus,Donacidae
71,itis,Donax dentifer,Donacidae
72,itis,Donax faba,Donacidae
73,itis,Donax incarnatus,Donacidae
74,itis,Donax scortum,Donacidae
75,itis,Donax semistriatus,Donacidae
76,itis,Donax serra,Donacidae
77,itis,Donax trunculus,Donacidae
78,itis,Donax variabilis,Donacidae
79,itis,Donax venustus,Donacidae
80,itis,Donax vittatus,Donacidae
81,itis,Ensis arcuatus,Pharidae
82,itis,Ensis macha,Pharidae
83,itis,Ensis siliqua,Pharidae
84,itis,Eumarcia paupercula,Veneridae
85,itis,Eurhomalea exalbida,Veneridae
86,itis,Euvola ziczac,Pectinidae
87,itis,Fulvia mutica,Cardiidae
88,itis,Gafrarium tumidum,Veneridae
89,itis,Gari solida,Psammobiidae
90,itis,Geukensia demissa,Mytilidae
91,itis,Glycymeris gigantea,Glycymerididae
92,itis,Glycymeris glycymeris,Glycymerididae
93,itis,Glycymeris nummaria,Glycymerididae
94,itis,Gomphina veneriformis,Veneridae
95,itis,Heteromacoma irus,Tellinidae
96,itis,Hinnites giganteus,Pectinidae
97,itis,Hyotissa hyotis,Gryphaeidae
98,itis,Iphigenia brasiliana,Donacidae
99,itis,Isognomon alatus,Isognomonidae
100,itis,Katelysia opima,Veneridae
101,itis,Laevicardium elatum,Cardiidae
102,itis,Lasaea rubra,Lasaeidae
103,itis,Lasaea subviridis,Lasaeidae
104,itis,Laternula elliptica,Laternulidae
105,itis,Leukoma antiqua,Veneridae
106,itis,Lima scabra,Limidae
107,itis,Lithophaga lessepsiana,Mytilidae
108,itis,Lithophaga lithophaga,Mytilidae
109,itis,Lithophaga purpurea,Mytilidae
110,itis,Lithophaga simplex,Mytilidae
111,itis,Lutraria philippinarum,Mactridae
112,itis,Macoma balthica,Tellinidae
