SiteID,Study,Species,Locality,LatDeg,LatMin,LongDeg,LongMin,spawnstart,spawnend,peak1,spawnstart2,spawnend2,peak2,spawnstart3,spawnend3,peak3,Notes,
1,Abraham 1953,Meretrix casta,Adyar river mouth,13,1,80,16,2,8,7,,,,,,,,
2,Adachi 1979,Ruditapes phillipinarum,"Inage, Japan",35,36,140,3,6,6,6,10,11,10,,,,,
3,Ahn et al 2003,Laternula elliptica,"Marian Cove, Antarctica",-62,13,-58,47,11,3,1,,,,,,,,
4,Alagarswami 1966,Donax faba,"Vedelai, India",9,15,79,8,4,7,6,11,12,12,,,,,
5,Allen 1962,Brachidontes recurvus,Hackett's Bar,36,52,-76,18,6,11,8,,,,,,,,
6,Almeida et al 1999,Crassostrea gigas,"Ria de Aveiro, Portugal",40,42,-8,40,6,7,6,,,,,,,,
6,Almeida et al 1999,Ostrea edulis,"Ria de Aveiro, Portugal",40,42,-8,40,6,7,6,,,,,,,,
7,Andersen 1971,Panopea generosa,"Hood Canal, Washington",47,38,-122,47,12,7,5,,,,,,,,
8,Anibal et al ,Ruditapes decussatus,"Ria Formosa, Portugal",37,0,-7,58,6,9,6,,,,,,,,
9,Ansell 1961,Venus striatula,Kames Bay,55,45,-4,55,5,7,6,,,,,,,,
10,Ansell 1972,Donax vittatus,Kames Bay,55,45,-4,55,6,8,7,,,,,,,,
11,Ansell 1974,Pseudomussium peslutrae,"Cumbrae deep, UK",55,45,-4,57,5,5,5,7,8,7,,,,,
12,Ansell 1974b,Abra alba,"Cumbrae deep, UK",55,45,-4,57,7,10,7,,,,,,,,
13,Ansell and Bodoy 1979,Donax trunculus,"Camarque Coast, France",43,23,4,55,5,6,5,8,10,8,,,,,
14,Ansell and Bodoy 1979,Donax vittatus,"Gullane, Scotland",56,2,-2,50,6,10,6,,,,,,,,
15,Ansell and Trevallion 1967,Tellina tenuis,Kames Bay,55,45,-4,55,6,7,6,,,,,,,,
16,Ansell et al 1980,Donax trunculus,"Azur Plage, Algeria",36,44,2,50,5,9,7,,,,,,,,
17,Aragon-Noriega et al 2007,Panopea globosa,Bahia de Guaymas-Empalme,27,53,-110,43,12,1,12,,,,,,,,
18,Arellano-Martinez et al 2011,Nodipecten subnodosus,"Guerrero Negro Lagoon, Baja California Sur",27,55,-114,2,10,11,11,,,,,,,,
19,Arendse et al 2008,Pecten sulcicostatus,"False Bay, South Africa",-34,14,18,28,6,9,8,,,,,,,,
20,Arjarasirikoon et al 2004,Pteria penguin,"Si-Chang Islands, Thailand",13,9,110,48,1,12,7,,,,,,,,
21,Asif 1980,Crassostrea cucullata,"Gaddani Beach, Pakistan",25,7,66,43,1,12,6,,,,,,,,
22,Avendano and Pennec 1997,Argopecten purpuratus,"Meijillones Bay, Chile",23,30,-70,27,1,6,3,,,,,,,,
